#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Acidobacteria_bacterium_SZUA-1168|SZUA-1168_00001									SZUA-1168_1:358..525	hypothetical protein					
Acidobacteria_bacterium_SZUA-1168|SZUA-1168_00002									SZUA-1168_1:703..939	hypothetical protein					
Acidobacteria_bacterium_SZUA-1168|SZUA-1168_00003									SZUA-1168_1:1063..1200	hypothetical protein					
Acidobacteria_bacterium_SZUA-1168|SZUA-1168_00004									SZUA-1168_1:1213..1356	hypothetical protein					
Acidobacteria_bacterium_SZUA-1168|SZUA-1168_00005					08RSN@bactNOG,0FJBY@cyaNOG,COG0398@NOG	SNARE associated Golgi protein			SZUA-1168_1:c(1781..2515)	TVP38/TMEM64 family inner membrane protein YdjZ					
Acidobacteria_bacterium_SZUA-1168|SZUA-1168_00006									SZUA-1168_1:2531..2746	hypothetical protein					
Acidobacteria_bacterium_SZUA-1168|SZUA-1168_00007									SZUA-1168_2:316..2013	hypothetical protein					
Acidobacteria_bacterium_SZUA-1168|SZUA-1168_00008									SZUA-1168_2:c(2099..2524)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1168|SZUA-1168_00009					05DI0@bactNOG,0XNYJ@NOG	Tat (Twin-arginine translocation) pathway signal sequence domain protein			SZUA-1168_2:c(2633..3838)	hypothetical protein					
Acidobacteria_bacterium_SZUA-1168|SZUA-1168_00010	K11178	[EC:1.17.1.4]	yagS	xanthine dehydrogenase YagS FAD-binding subunit	05DIP@bactNOG,0QN9Y@gproNOG,16Q2R@proNOG,COG1319@NOG	Molybdopterin dehydrogenase FAD-binding			SZUA-1168_3:118..510	Putative xanthine dehydrogenase YagS FAD-binding subunit	K11178	K11178		K11178	K20445
Acidobacteria_bacterium_SZUA-1168|SZUA-1168_00011									SZUA-1168_3:512..844	hypothetical protein					
Acidobacteria_bacterium_SZUA-1168|SZUA-1168_00012	K20469		K20469	putative heme transporter	081AV@bactNOG,1DHY3@verNOG,COG0628@NOG	Domain of unknown function DUF20			SZUA-1168_3:c(841..1995)	Sodium-lithium/proton antiporter	K20469				K20469
Acidobacteria_bacterium_SZUA-1168|SZUA-1168_00013	K00666	[EC:6.2.1.-]	K00666	fatty-acyl-CoA synthase	05CEY@bactNOG,0D1XF@chloNOG,COG0318@NOG	AMP-binding enzyme			SZUA-1168_3:2213..3847	3-[(3aS,4S,7aS)-7a-methyl-1, 5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase	K00666	K00666	K00666	K00666	K21792
Acidobacteria_bacterium_SZUA-1168|SZUA-1168_00014					090D4@bactNOG,11RWU@NOG				SZUA-1168_4:13..564	hypothetical protein					
Acidobacteria_bacterium_SZUA-1168|SZUA-1168_00015	K01470	[EC:3.5.2.10]	E3.5.2.10	creatinine amidohydrolase	08U3X@bactNOG,0BG35@bproNOG,17977@proNOG,COG1402@NOG	Creatinine amidohydrolase			SZUA-1168_4:c(577..1326)	hypothetical protein	K01470			K01470	K14653
