#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_sp_SZUA-1444|SZUA-1444_00001									SZUA-1444_1:1375..2277	hypothetical protein					
Candidatus_sp_SZUA-1444|SZUA-1444_00002									SZUA-1444_1:2963..3121	hypothetical protein					
Candidatus_sp_SZUA-1444|SZUA-1444_00003									SZUA-1444_1:3181..3312	hypothetical protein					
Candidatus_sp_SZUA-1444|SZUA-1444_00004	K01866	[EC:6.1.1.1]	YARS, tyrS	tyrosyl-tRNA synthetase	0KRT1@eurNOG,1CDXZ@thermNOG,COG0162@NOG,arCOG01886@arNOG	Catalyzes the attachment of tyrosine to tRNA(Tyr) in a two-step reaction tyrosine is first activated by ATP to form Tyr- AMP and then transferred to the acceptor end of tRNA(Tyr) (By similarity)			SZUA-1444_1:3424..4728	Tyrosine--tRNA ligase	K01866	K01866		K01866	
Candidatus_sp_SZUA-1444|SZUA-1444_00005					COG0037@NOG,arCOG00042@arNOG	pp-loop domain protein			SZUA-1444_1:c(4989..5267)	hypothetical protein					
Candidatus_sp_SZUA-1444|SZUA-1444_00006	K01601	[EC:4.1.1.39]	rbcL	ribulose-bisphosphate carboxylase large chain	0KRSJ@eurNOG,0WQKE@methNOG,COG1850@NOG,arCOG04443@arNOG	ribulose bisphosphate carboxylase			SZUA-1444_2:139..1557	Ribulose bisphosphate carboxylase	K01601	K01601		K01601	
Candidatus_sp_SZUA-1444|SZUA-1444_00007	K18931	[EC:2.4.2.57]	ampp	AMP phosphorylase	0KRQC@eurNOG,1CE16@thermNOG,COG0213@NOG,arCOG02013@arNOG	thymidine phosphorylase			SZUA-1444_2:1746..3245	AMP phosphorylase	K18931	K18931		K08352	
Candidatus_sp_SZUA-1444|SZUA-1444_00008	K18237	[EC:5.3.1.29]	K18237	ribose 1,5-bisphosphate isomerase	0KRTQ@eurNOG,1CE1I@thermNOG,COG1184@NOG,arCOG01124@arNOG	Translation initiation factor			SZUA-1444_2:3252..4166	Ribose 1,5-bisphosphate isomerase	K18237	K18237		K18237	
Candidatus_sp_SZUA-1444|SZUA-1444_00009	K06990		MEMO1	MEMO1 family protein	0FBCE@creNOG,COG1355@NOG,arCOG01728@arNOG	UPF0103 protein			SZUA-1444_3:72..662	hypothetical protein	K06990	K06990		K06990	
Candidatus_sp_SZUA-1444|SZUA-1444_00010	K09141		K09141	uncharacterized protein	0KT45@eurNOG,0WQ6D@methNOG,COG2078@NOG,arCOG01336@arNOG	AMMECR1			SZUA-1444_3:c(651..1256)	hypothetical protein	K09141	K09141		K09141	
Candidatus_sp_SZUA-1444|SZUA-1444_00011	K13993		HSP20	HSP20 family protein	0KV0S@eurNOG,COG0071@NOG,arCOG01832@arNOG	Heat shock protein			SZUA-1444_3:1461..1928	Small heat shock protein HSP16.5	K13993	K13993		K13993	
Candidatus_sp_SZUA-1444|SZUA-1444_00012	K06943		NOG1	nucleolar GTP-binding protein	0KRN6@eurNOG,1CDQS@thermNOG,COG1084@NOG,arCOG00352@arNOG	GTP-binding protein			SZUA-1444_3:2183..3163	tRNA modification GTPase MnmE	K06943	K06943		K06943	
Candidatus_sp_SZUA-1444|SZUA-1444_00013									SZUA-1444_3:c(3178..3411)	hypothetical protein					
Candidatus_sp_SZUA-1444|SZUA-1444_00014									SZUA-1444_4:147..860	hypothetical protein					
Candidatus_sp_SZUA-1444|SZUA-1444_00015	K10726	[EC:3.6.4.-]	mcm, cdc21	replicative DNA helicase Mcm	0KRHZ@eurNOG,0RFC4@halNOG,COG1241@NOG,arCOG00439@arNOG	mcm family			SZUA-1444_4:1370..3937	Minichromosome maintenance protein MCM	K10726	K10726		K10726	
Candidatus_sp_SZUA-1444|SZUA-1444_00016									SZUA-1444_4:3937..4530	hypothetical protein					
Candidatus_sp_SZUA-1444|SZUA-1444_00017									SZUA-1444_5:154..894	hypothetical protein					
