#Protein ID	KO	EC	KO protein ID	KO protein name	eggNOG OG	eggNOG HMM Desc.	nr annotation	nr phylogenetic assignment	genome position	Prokka annotation	KO (4 intergrated)	GhostKOALA KO	KAAS KO	eggNOG KO (1st)	eggNOG COG transferred KO
Candidatus_bacterium_SZUA-1129|SZUA-1129_00001									SZUA-1129_1:514..1911	hypothetical protein					
Candidatus_bacterium_SZUA-1129|SZUA-1129_00002									SZUA-1129_1:c(2091..2555)	hypothetical protein					
Candidatus_bacterium_SZUA-1129|SZUA-1129_00003	K13955		yogA	zinc-binding alcohol dehydrogenase/oxidoreductase	003PG@aciNOG,05CB2@bactNOG,COG0604@NOG	alcohol dehydrogenase zinc-binding			SZUA-1129_2:c(219..1247)	Quinone oxidoreductase 1	K13955			K13955	K21839
Candidatus_bacterium_SZUA-1129|SZUA-1129_00004									SZUA-1129_2:c(1244..1408)	hypothetical protein					
Candidatus_bacterium_SZUA-1129|SZUA-1129_00005	K15518	[EC:2.7.1.113]	dgk	deoxyguanosine kinase	05ZMH@bactNOG,0GDTP@delNOG,0HED3@dproNOG,17902@proNOG,COG1428@NOG	deoxynucleoside kinase			SZUA-1129_2:c(1414..2058)	Deoxyguanosine kinase	K15518			K15518	K15519
Candidatus_bacterium_SZUA-1129|SZUA-1129_00006	K00950	[EC:2.7.6.3]	folK	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	091NV@basNOG,0PFZP@fuNOG,12R5H@opiNOG,COG0294@NOG,COG0801@NOG,KOG2544@euNOG	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)			SZUA-1129_2:c(2055..2576)	Bifunctional folate synthesis protein	K00950	K00950		K13939	
Candidatus_bacterium_SZUA-1129|SZUA-1129_00007	K01633	[EC:4.1.2.25][EC:5.1.99.8][EC:1.13.11.81]	folB	7,8-dihydroneopterin aldolase/epimerase/oxygenase	05KRF@bactNOG,0EU9H@cloNOG,0NKV9@firmNOG,COG1539@NOG	dihydroneopterin aldolase			SZUA-1129_2:c(2569..2925)	Dihydroneopterin aldolase	K01633	K01633		K01633	K13940
Candidatus_bacterium_SZUA-1129|SZUA-1129_00008	K00569	[EC:2.1.1.67]	TPMT, tpmT	thiopurine S-methyltransferase	08V61@bactNOG,0FNV2@cyaNOG,COG0500@NOG	Thiopurine S-methyltransferase (TPMT)			SZUA-1129_2:c(2915..3544)	hypothetical protein	K00569			K00569	K21377
Candidatus_bacterium_SZUA-1129|SZUA-1129_00009	K03704		cspA	cold shock protein (beta-ribbon, CspA family)	0KXY3@eurNOG,0WPDB@methaNOG,COG1278@NOG,arCOG02983@arNOG	Cold shock DNA binding domain protein			SZUA-1129_2:c(3702..3896)	Cold shock protein	K03704	K03704		K03704	
Candidatus_bacterium_SZUA-1129|SZUA-1129_00010									SZUA-1129_2:c(3893..4258)	hypothetical protein					
Candidatus_bacterium_SZUA-1129|SZUA-1129_00011									SZUA-1129_2:c(4331..4828)	hypothetical protein					
Candidatus_bacterium_SZUA-1129|SZUA-1129_00012									SZUA-1129_2:c(4842..5219)	hypothetical protein					
Candidatus_bacterium_SZUA-1129|SZUA-1129_00013	K19499		ANO4, TMEM16D	anoctamin-4					SZUA-1129_2:c(5306..5743)	hypothetical protein	K19499	K19499			
